STATE_ID;CRIMINAL_OFFENCE_CODE;YEAR;COUNT
9;T11AS;2011;1646
10;T11AS;2011;164
11;T11AS;2011;5264
12;T11AS;2011;12443
13;T11AS;2011;4959
14;T11AS;2011;40171
15;T11AS;2011;249333
16;T11AS;2011;94
17;T11AS;2011;518226
18;T11AS;2011;15754
19;T11AS;2011;14241
20;T11AS;2011;271
21;T11AS;2011;14489
22;T11AS;2011;
24;T11AS;2011;
25;T11AS;2011;4107
26;T11AS;2011;
27;T11AS;2011;181
28;T11AS;2011;
29;T11AS;2011;
30;T11AS;2011;59390
31;T11AS;2011;14582
32;T11AS;2011;52505
33;T11AS;2011;59567
34;T11AS;2011;
35;T11AS;2011;38512
36;T11AS;2011;6720
37;T11AS;2011;2231
38;T11AS;2011;1974
39;T11AS;2011;18322
40;T11AS;2011;89457
41;T11AS;2011;9520
43;T11AS;2011;19634
44;T11AS;2011;13077
2;T11AA;2007;181
3;T11AA;2007;185
4;T11AA;2007;3878
5;T11AA;2007;
6;T11AA;2007;2986
7;T11AA;2007;
8;T11AA;2007;68
9;T11AA;2007;995
10;T11AA;2007;111
11;T11AA;2007;
12;T11AA;2007;1709
13;T11AA;2007;145
14;T11AA;2007;2385
15;T11AA;2007;
16;T11AA;2007;21
17;T11AA;2007;154849
18;T11AA;2007;
19;T11AA;2007;6796
20;T11AA;2007;50
21;T11AA;2007;3914
22;T11AA;2007;
24;T11AA;2007;
25;T11AA;2007;250
26;T11AA;2007;
27;T11AA;2007;
28;T11AA;2007;
29;T11AA;2007;
30;T11AA;2007;
31;T11AA;2007;15
32;T11AA;2007;1254
33;T11AA;2007;665
34;T11AA;2007;
35;T11AA;2007;
36;T11AA;2007;2095
37;T11AA;2007;
38;T11AA;2007;279
39;T11AA;2007;
40;T11AA;2007;
41;T11AA;2007;
43;T11AA;2007;
44;T11AA;2007;5486
2;T11AA;2008;264
3;T11AA;2008;215
4;T11AA;2008;3945
5;T11AA;2008;
6;T11AA;2008;3234
7;T11AA;2008;
8;T11AA;2008;74
9;T11AA;2008;1003
10;T11AA;2008;130
11;T11AA;2008;
12;T11AA;2008;1663
13;T11AA;2008;140
14;T11AA;2008;2256
15;T11AA;2008;
16;T11AA;2008;27
17;T11AA;2008;151208
18;T11AA;2008;
19;T11AA;2008;7631
20;T11AA;2008;77
21;T11AA;2008;3850
22;T11AA;2008;
24;T11AA;2008;
25;T11AA;2008;229
26;T11AA;2008;
27;T11AA;2008;
28;T11AA;2008;
29;T11AA;2008;
30;T11AA;2008;
31;T11AA;2008;20
32;T11AA;2008;1162
33;T11AA;2008;760
34;T11AA;2008;
35;T11AA;2008;
36;T11AA;2008;2051
37;T11AA;2008;
38;T11AA;2008;208
39;T11AA;2008;
40;T11AA;2008;
41;T11AA;2008;
43;T11AA;2008;
44;T11AA;2008;5055
2;T11AA;2009;291
3;T11AA;2009;181
4;T11AA;2009;4023
5;T11AA;2009;
6;T11AA;2009;3584
7;T11AA;2009;
8;T11AA;2009;49
9;T11AA;2009;981
10;T11AA;2009;177
11;T11AA;2009;
12;T11AA;2009;1603
13;T11AA;2009;106
14;T11AA;2009;2105
15;T11AA;2009;
16;T11AA;2009;10
17;T11AA;2009;149301
18;T11AA;2009;
19;T11AA;2009;7071
20;T11AA;2009;79
21;T11AA;2009;3711
22;T11AA;2009;
24;T11AA;2009;
25;T11AA;2009;196
26;T11AA;2009;
27;T11AA;2009;
28;T11AA;2009;
29;T11AA;2009;
30;T11AA;2009;
31;T11AA;2009;19
32;T11AA;2009;1193
33;T11AA;2009;724
34;T11AA;2009;
35;T11AA;2009;
36;T11AA;2009;1920
37;T11AA;2009;
38;T11AA;2009;212
39;T11AA;2009;
40;T11AA;2009;
41;T11AA;2009;690
43;T11AA;2009;
44;T11AA;2009;4141
2;T11AA;2010;178
